( micro ) habitats | RESOURCE
Oxidation - reduction potentials | QUALITY
P . aeruginosa - BAS - Cr1 | RESOURCE
P . multitentaculata | ACTOR
P . plate | RESOURCE
P . quadrispinosa | ACTOR
P . virgatus | ACTOR
PAH concentrations | QUALITY
PAH | RESOURCE
PAHs | RESOURCE
PDO ( Pacific Decadal Oscillation ) | QUALITY
PDO | QUALITY
PETZONE | LOCATION
PF | QUALITY
PFAS pollution | PROCESS
PFAS | RESOURCE
PFASs | RESOURCE
PFBA | RESOURCE
PFOA | RESOURCE
PFOS | RESOURCE
PFPeA | RESOURCE
PGDP | QUALITY
PO43 | RESOURCE
PUA | RESOURCE
PUAs | RESOURCE
PWG | ACTOR
PWWTP | RESOURCE
Pacific Ocean | LOCATION
Pacific coast | LOCATION
Pacific salmon | ACTOR
Pacific subduction | PROCESS
Pacific | LOCATION
Padina gymnospora | RESOURCE
Palaeoulvaria | RESOURCE
Paleogene lift | PROCESS
Pallaseopsis quadrispinosa | ACTOR
Pando | LOCATION
Panyu | LOCATION
Papua New Guinea | LOCATION
Paralia - Katerinis | LOCATION
Parasitism | PROCESS
Parnaiba Delta River | LOCATION
Particle fluxes | PROCESS
Patimban Seaport | RESOURCE
Pays de Caux | LOCATION
Pb | RESOURCE
Pearl River Estuary | LOCATION
Pearl River Plume | PROCESS
Pearl River | LOCATION
Peninsular Malaysia | LOCATION
Perca fluviatilis | ACTOR
Perna perna | RESOURCE
Persian Gulf | LOCATION
Pesticides fluxes | PROCESS
Petrochemical Special Economic Zone ( PETZONE ) | LOCATION
Petrolisthes virgatus | ACTOR
PhACs | RESOURCE
Phaeophyceae | RESOURCE
Pharmaceuticals ( PhACs ) | RESOURCE
Philippine Sea Plate | RESOURCE
Philippines | LOCATION
Phoenicopterus ruber | RESOURCE
Photoinhibition | PROCESS
Physiological condition | QUALITY
Phytoplankton of estuaries and coastal areas ( FITEAC ) | ACTOR
Picard | LOCATION
Pier boulders | LOCATION
Pier | LOCATION
Plaice | RESOURCE
Planners | ACTOR
Planocera multitentaculata | ACTOR
Plastic weathering | PROCESS
Plate | RESOURCE
PlattTrace fossil | RESOURCE
Plecoptera | ACTOR
Pocitos | LOCATION
Poland | LOCATION
Policy Working Group ( PWG ) | ACTOR
Polish Baltic coast | LOCATION
Polish | LOCATION
Pollutants | RESOURCE
Polycyclic Aromatic Hydrocarbons ( PAHs ) | RESOURCE
Polycyclic aromatic hydrocarbon ( PAH ) | RESOURCE
Polycyclic aromatic hydrocarbons ( PAHs ) | RESOURCE
Polyunsaturated aldehydes ( PUAs ) | RESOURCE
Pond farming | PROCESS
Port Dickson | LOCATION
Port Moresby | LOCATION
Port of Luwuk | LOCATION
Portugal | LOCATION
Potential Environmental Indicators ( PEIs ) | RESOURCE
Potential barriers | QUALITY
Pozzuoli Bay | LOCATION
Prasinophyceae | RESOURCE
Preservation | PROCESS
Pressures | PROCESS
Prestige oil spill | PROCESS
Prionocidaris | RESOURCE
Project Adriatic | PROCESS
Prydz Bay | LOCATION
Psammechinus | RESOURCE
Pseudo - nizschia | RESOURCE
Pseudogomphonema kamtshaticum | RESOURCE
Psychological preparedness | PROCESS
Pterapogon kauderni | ACTOR
Pulau Langkawi | LOCATION
Purpose - Corrosive agent | RESOURCE
Pyrogenic PAHs | QUALITY
QPF skill | QUALITY
Qiongdongnan Basin | LOCATION
Qishon River basin | LOCATION
Quanzhou City | LOCATION
Quebec | LOCATION
Queensland | LOCATION
R . esculentum | ACTOR
RECC | QUALITY
REE | RESOURCE
ROS levels | QUALITY
ROS | RESOURCE
RPLI | QUALITY
RSLRR | QUALITY
RTs | QUALITY
Radioactive waste repository | RESOURCE
Rainfall | PROCESS
Ramrez | LOCATION
Rare earth elements ( REE ) | RESOURCE
Ras Malaab | LOCATION
Ras Mohamed | LOCATION
Re - infiltration | PROCESS
Red Sea | LOCATION
Red algae | RESOURCE
Regency Beach | LOCATION
Renzishi Fault | RESOURCE
Republic of Crimea | LOCATION
Republic of Karelia | LOCATION
Research on marine and estuarine pelagic environment and planktonic communities ( MarEsPlank ) | ACTOR
Respiration rates | QUALITY
Resuspension | PROCESS
Rhizopora mucronata | RESOURCE
Rhodobacteraceae | ACTOR
Rhodophyta | RESOURCE
Rhone Delta | LOCATION
Rhopilema esculentum | ACTOR
Rijeka | LOCATION
Rio de Janeiro | LOCATION
Risk management | PROCESS
River Shimanto | LOCATION
River basin | RESOURCE
River plume waters | RESOURCE
Rivers | RESOURCE
Roadside herbs | RESOURCE
Romania | ACTOR
Romanian | LOCATION
Rongjiang River | LOCATION
Rostov Region | LOCATION
Rotifera | RESOURCE
Rotterdam | LOCATION
Russia | LOCATION
Russian Federation | LOCATION
Rutilus rutilus | ACTOR
Ryukyu arc | LOCATION
S . Vito | LOCATION
S . spallanzanii | ACTOR
SAL | QUALITY
SAR | LOCATION
SAR11 | ACTOR
SCS | LOCATION
SCS | RESOURCE
SE Sulawesi | LOCATION
SE | LOCATION
SGD | PROCESS
SLR | PROCESS
SOD activity | PROCESS
SPM | RESOURCE
SSC | QUALITY
SSC | RESOURCE
SW | RESOURCE
Sabah | LOCATION
Sabella spallanzanii | ACTOR
Sakhalin | LOCATION
Salalah | LOCATION
Salento peninsula | LOCATION
Salinity | QUALITY
Salmo trutta | ACTOR
Salt marshes | RESOURCE
San Jorge Gulf | LOCATION
Sandy shores | LOCATION
Sanriku | LOCATION
Santa Cruz | LOCATION
Santana | LOCATION
Santiago Island | LOCATION
Sanya | LOCATION
Sao Carlos | LOCATION
Sao Paulo | LOCATION
Sao Pedro | LOCATION
Sardinia | LOCATION
Sardocidaris | RESOURCE
Sargassum polycystum | RESOURCE
Saudi Arabia | ACTOR
Schizaster | RESOURCE
Schleswig - Holstein | LOCATION
Scomber scombrus | RESOURCE
Sea - level rise ( SLR ) | PROCESS
Sea - level rise | PROCESS
Sea level fluctuations | PROCESS
Sea levels | QUALITY
Sea of Okhotsk | LOCATION
Sea | RESOURCE
Seabirds | ACTOR
Seawater intrusion | PROCESS
Seaweeds | RESOURCE
Sediment focusing | PROCESS
Sediment samples | RESOURCE
Seine - Maritime | LOCATION
Semaphore Park | LOCATION
Senegal | LOCATION
Sepetiba Bay | LOCATION
Sepia officinalis | RESOURCE
Serpulid reefs | RESOURCE
Serpulidae | ACTOR
Seston | RESOURCE
Sevastopol | LOCATION
Sfantu Gheorghe | LOCATION
Sfiha | LOCATION
Shandong Peninsula | LOCATION
Shanghai | LOCATION
Shanmei Reservoir Basin | LOCATION
Shantou | LOCATION
Sharks | ACTOR
Shelf Water transport | PROCESS
Shenzhen | LOCATION
Shiba Basin | ACTOR
Shira Lake | LOCATION
Shore platform | RESOURCE
Shoreline works | PROCESS
Shoreline | LOCATION
Shoreline | RESOURCE
Shot blasting | PROCESS
Shyamnagar | LOCATION
Siberia | LOCATION
Siberian platform | LOCATION
Sidi Amer O Moussa | LOCATION
Sidi Driss | LOCATION
Simpong | LOCATION
Singapore | ACTOR
Singapore | LOCATION
Sipitang | LOCATION
Site fidelity | QUALITY
Skeletonema costatum | RESOURCE
Slag application | PROCESS
Smallmouth buffalo | RESOURCE
Smooth - coated otters | ACTOR
Snail | ACTOR
So Domingos | LOCATION
So Miguel | LOCATION
Socio - economic subsystem ( SEC ) | RESOURCE
Sodom | LOCATION
Soil salinity | QUALITY
Soil | RESOURCE
Solar panels | RESOURCE
Somme Bay | LOCATION
Somme | LOCATION
Souani | LOCATION
South - Western Europe | LOCATION
South Africa | LOCATION
South African | LOCATION
South America | LOCATION
South American | LOCATION
South Asia | LOCATION
South Atlantic Ocean | LOCATION
South Atlantic | LOCATION
South China Sea ( SCS ) | LOCATION
South China Sea | LOCATION
South China | LOCATION
South Dakota | LOCATION
South Korea | LOCATION
South Tamaraikulam | LOCATION
Southchina | LOCATION
Southeast China | LOCATION
Southern Ghana | LOCATION
Southern Italy | LOCATION
Southern Ocean | LOCATION
Soviet Union | LOCATION
Sp . frugiperda | ACTOR
Spain | LOCATION
Spatangus | RESOURCE
Spatially structured environmental conditions | QUALITY
Species composition | QUALITY
Species diversity | QUALITY
Species richness | QUALITY
Species | ACTOR
Spheniscus humboldti | ACTOR
Spheniscus magellanicus | ACTOR
Sri Lanka | ACTOR
Sri Lanka | LOCATION
St . Cuthbert | LOCATION
Stable isotopes ( d15N ) | RESOURCE
Stigeoclonium tenue | RESOURCE
Stizostedion vitreum | ACTOR
Ston | LOCATION
Strangford Lough | LOCATION
Structured habitats | RESOURCE
Stylocidaris | RESOURCE
Submarine groundwater discharge ( SGD ) | PROCESS
Submarine groundwater discharge | PROCESS
Submerged breakwaters | RESOURCE
Subtidal species | RESOURCE
Sudr | LOCATION
Suez Canal | LOCATION
Suitable habitat | QUALITY
Sukkozero | LOCATION
Sulina | LOCATION
Sumatra | LOCATION
Sunda and Sahul shelves | RESOURCE
Surabaya | LOCATION
Surface faults | RESOURCE
Surge | PROCESS
Sustainable Development Goals ( SDGs ) | RESOURCE
Suzhou | LOCATION
Svalbard | LOCATION
Sydney | LOCATION
Symbiotic anomuran and brachyuran crabs | ACTOR
Synechococcus | RESOURCE
T . alboplumbeus | ACTOR
T . aurantistellata | ACTOR
T . biserialis | ACTOR
T . brevidentata | ACTOR
T . kiosquiformis | ACTOR
T . latifolia | RESOURCE
T . laxmannii | RESOURCE
TA | QUALITY
TA | RESOURCE
TBT | RESOURCE
TC | PROCESS
TCs | PROCESS
TD | PROCESS
TDT | RESOURCE
THg | QUALITY
TI | PROCESS
TN | QUALITY
TP | QUALITY
TPAHs | RESOURCE
TPH | RESOURCE
TTX | RESOURCE
TTXs | RESOURCE
Taiwan | LOCATION
Takifugu alboplumbeus | ACTOR
Takifugu flavipterus | ACTOR
Takifugu rubripes | ACTOR
Takifugu stictonotus | ACTOR
Tamarix | RESOURCE
Tamil Nadu | LOCATION
Tampa bay | LOCATION
Tangier Malabata | LOCATION
Tangier Municipal | LOCATION
Tangshan | LOCATION
Tanjung Piai | LOCATION
Tansley | RESOURCE
Taourirt | LOCATION
Tapping of solar energy | PROCESS
Tapuaeharuru Bay | LOCATION
Tar - balls | RESOURCE
Tarrafal | LOCATION
Tasmania | LOCATION
Telmatogeton amphibius | ACTOR
Temperature | QUALITY
Terrebonne Bay | LOCATION
Terrebonne | LOCATION
Tethyan subduction / collision | PROCESS
Tetraclita stalactifera | RESOURCE
Tetralia aurantistellata | ACTOR
Tetralia glaberrima | ACTOR
Tetralia nigrolineata | ACTOR
Tetralia rubridactyla | ACTOR
Tetrodotoxin ( TTX ) | RESOURCE
Thais biserialis | ACTOR
Thalassiosira | RESOURCE
The Study on Flood and Debris Flow in the Caspian Coastal Area Focusing on the Flood - Hit Region in Golestan Province | RESOURCE
Thengapattinam | LOCATION
Thermaikos Gulf | LOCATION
Thraustochytrids | RESOURCE
Three Gorges Reservoir | RESOURCE
Tide - surge interaction | PROCESS
Tokyo Bay | LOCATION
Tourist species | QUALITY
Trace elements | RESOURCE
Trachypatagus | RESOURCE
Transport | PROCESS
Trapezia cymodoce | ACTOR
Trapezia septata | ACTOR
Tretocidaris | RESOURCE
Trichocorixa verticalis verticalis ( Tvv ) | ACTOR
Trichoptera | ACTOR
Tricladida | ACTOR
Tripneustes | RESOURCE
Trkiye | LOCATION
Trombidiformes | ACTOR
Trophic diatom index for lakes ( TDIL ) | QUALITY
Trophic levels | QUALITY
Tropical cyclones ( TCs ) | PROCESS
Tsunami hazard | PROCESS
Tubes | RESOURCE
Turkiye | ACTOR
Tuscan Archipelago | LOCATION
Tuscany | LOCATION
Tuticorin | LOCATION
Tvv | ACTOR
Tylocidaris | RESOURCE
U . S . | LOCATION
USA | LOCATION
UV - B | RESOURCE
UV radiation | PROCESS
Ulva fasciata Delile | RESOURCE
Ulva profunda | RESOURCE
Ulvaceae | RESOURCE
Ulvales Blackman | RESOURCE
Ulvophyceae | RESOURCE
Unit of Formation and Research Protection of Ecosystem Health | ACTOR
United Nations ( UN ) | ACTOR
United States | ACTOR
United States | LOCATION
Unmanned Aerial Vehicle ( UAV ) | RESOURCE
Urban areas | LOCATION
Uria aalge | ACTOR
Uria lomvia | ACTOR
Uruguay | LOCATION
VLFS design | QUALITY
VLFS | RESOURCE
Valaam Island | LOCATION
Valencia | LOCATION
Vancouver | LOCATION
Variations in ecological connectivity | QUALITY
Variations in the distribution | QUALITY
Vegetation cover | QUALITY
Vehicle collisions | PROCESS
Veneroida | ACTOR
Veracruz | LOCATION
Vertical profiles | QUALITY
Very Large Floating Structures ( VLFS ) | RESOURCE
Vietnam | LOCATION
W . Araba | LOCATION
W . Feiran | LOCATION
W . Sidri | LOCATION
WAP | LOCATION
WRF | PROCESS
WVPS | QUALITY
WWTPs | RESOURCE
Wahai Seram Utara District | LOCATION
Waigani Lake | LOCATION
Waitemata Group rocks | RESOURCE
Waitemata Group | RESOURCE
Walleyes | ACTOR
Walrus | ACTOR
Warm - sector heavy rainfall | QUALITY
Waste Water Treatment Plants | RESOURCE
Wastewater treatment plants ( WWTPs ) | RESOURCE
Water - level drawdown | PROCESS
Water Framework Directive | RESOURCE
Water Pollution Abatement in Littoral Area | PROCESS
Water levels | QUALITY
Water quality | QUALITY
Water resources management | PROCESS
Water scarcity | PROCESS
Weiti Estuary | LOCATION
West Africa Craton | LOCATION
Western Antarctic Peninsula ( WAP ) | LOCATION
Western Australia | LOCATION
Wetland | RESOURCE
Whooper Swan | ACTOR
Whooper Swans C . cygnus | ACTOR
Wildlife Reserves Singapore | ACTOR
Wind - related disasters | PROCESS
Wireless Sensor Network fWSN ) | RESOURCE
Wonorejo Estuary | LOCATION
Wonorejo River | LOCATION
Wonorejo | LOCATION
World Bank | ACTOR
Xiphophorus helleii | ACTOR
Yamachiche | LOCATION
Yancheng | LOCATION
Yangpu | LOCATION
Yangtze Estuary | LOCATION
Yangtze River Economic Belt ( YREB ) | LOCATION
Yangtze River | LOCATION
Yellow River Delta | LOCATION
Yellow River | LOCATION
Yellow Sea | LOCATION
Yellow Seas | LOCATION
Yunnan | LOCATION
Zadar | LOCATION
Zhejiang | LOCATION
Zhuhai | LOCATION
Zijin - Boluo Fault | RESOURCE
Zn | RESOURCE
Zoanthus sansibaricus | ACTOR
Zonation | PROCESS
Zoo - and phytoplankton densities | QUALITY
abdominal discomfort | PROCESS
abiotic factors | QUALITY
abrasion | PROCESS
abscisic acid | RESOURCE
abstraction | PROCESS
abundance time series | QUALITY
abundance | QUALITY
abundances | QUALITY
academic researchers | ACTOR
acceptable daily intake | QUALITY
accessibility | QUALITY
accommodate | PROCESS
accommodation space | QUALITY
accretion | PROCESS
accumulate | PROCESS
accumulation | PROCESS
accumulator | QUALITY
acid deposition | PROCESS
acid precipitation | PROCESS
acid rain | PROCESS
acidification | PROCESS
active faults | RESOURCE
active margin | RESOURCE
activities | PROCESS
adaptation measures | RESOURCE
adaptation responses | RESOURCE
adaptation strategies | RESOURCE
adaptation strategy | RESOURCE
adaptation | PROCESS
adaptation | QUALITY
adaptations | PROCESS
additive compounds | RESOURCE
administrators | ACTOR
adoption | PROCESS
adult Pacific salmon | ACTOR
adult salmon | ACTOR
adult | ACTOR
adult | QUALITY
adults | QUALITY
adverse effects | PROCESS
adverse impacts | PROCESS
aeolian | PROCESS
aerial platforms | RESOURCE
affected areas | LOCATION
affected people | QUALITY
afforestation sites | LOCATION
afforestation | PROCESS
afforesting | PROCESS
agar | RESOURCE
age structure | QUALITY
aggregate | PROCESS
aggregated population | QUALITY
aggregation frequency | QUALITY
aggregation product | RESOURCE
aggregation | PROCESS
aggregations | QUALITY
agricultural activities | PROCESS
agricultural activity | PROCESS
agricultural drainage | PROCESS
agricultural fields | RESOURCE
agricultural lands | RESOURCE
agricultural producers | ACTOR
agricultural regions | RESOURCE
agricultural soils | RESOURCE
agricultural use | PROCESS
agricultural | PROCESS
agriculture | ACTOR
agriculture | PROCESS
air pollution | PROCESS
air | RESOURCE
aircraft | RESOURCE
airport | RESOURCE
airports | RESOURCE
algae | RESOURCE
algal - derived products | RESOURCE
algal blooms | PROCESS
algal growth | PROCESS
algal | RESOURCE
alginate | RESOURCE
alien species | ACTOR
alkyl anthracenes ( AANs ) | RESOURCE
alkyl chrysenes ( ACHs ) | RESOURCE
alkyl fluoranthenes ( AFLs ) | RESOURCE
alkyl naphthalenes ( ANAs ) | RESOURCE
alkyl phenanthrenes ( APHs ) | RESOURCE
alkyl pyrenes ( APYs ) | RESOURCE
alkylated PAH | QUALITY
alkylated PAHs | QUALITY
all - hazards / all - decisions | RESOURCE
allelopathy | PROCESS
allergens | RESOURCE
allocation | PROCESS
allochthonous | QUALITY
alpine lake | RESOURCE
alteration | PROCESS
alterations | PROCESS
altered | QUALITY
alternative farming | PROCESS
alternative management | PROCESS
alternative strategies | RESOURCE
alternatives | RESOURCE
aluminum industrial complex | RESOURCE
ambient sound | RESOURCE
ambient underwater sound | RESOURCE
amenities | RESOURCE
amino acids | RESOURCE
amorphous iron | RESOURCE
amphid | RESOURCE
amphidial fovea | RESOURCE
amphipod | ACTOR
amphipods | ACTOR
amplitude | QUALITY
amplitudes | QUALITY
anadromous individuals | ACTOR
anadromous trout | ACTOR
anadromy | QUALITY
analysis | PROCESS
anatomical acclimation | PROCESS
angular | QUALITY
animal foods | RESOURCE
animals | ACTOR
animals | RESOURCE
annual average of runoff | QUALITY
annual water level fluctuations | QUALITY
annuals | QUALITY
anomalous | QUALITY
anomuran and brachyuran crab fauna | ACTOR
anomuran symbionts | ACTOR
anthracene | RESOURCE
anthropisation degree | QUALITY
anthropisation | PROCESS
anthropogenic activities | PROCESS
anthropogenic activity | ACTOR
anthropogenic alterations | PROCESS
anthropogenic and climatic factors | QUALITY
anthropogenic eutrophication | PROCESS
anthropogenic factor | ACTOR
anthropogenic factors | QUALITY
anthropogenic impact | PROCESS
anthropogenic influences | PROCESS
anthropogenic pollution | PROCESS
anthropogenic pressure | PROCESS
anthropogenic source | QUALITY
anthropogenic | ACTOR
anthropologic disturbance | PROCESS
antibiotic resistance genes ( ARGs ) | RESOURCE
antibiotic | RESOURCE
anticipation | PROCESS
antifouling paints | RESOURCE
antioxidant compounds | RESOURCE
antioxidative enzymes | RESOURCE
antisubmarine capabilities | QUALITY
apex predator | ACTOR
apex predators | ACTOR
apple snails | ACTOR
applications | PROCESS
approaches | RESOURCE
aquaculture farms | RESOURCE
aquaculture industry | ACTOR
aquaculture production | PROCESS
aquaculture resources | RESOURCE
aquaculture | PROCESS
aquatic - terrestrial ecosystems | RESOURCE
aquatic alien insect | ACTOR
aquatic ecosystems | RESOURCE
aquatic environment | RESOURCE
aquatic environments | RESOURCE
aquatic fauna | ACTOR
aquatic organisms | RESOURCE
aquatic systems | RESOURCE
aquatic vegetation | RESOURCE
aqueous Ca | RESOURCE
aquifer pollution | PROCESS
aquifer systems | RESOURCE
aquifer | RESOURCE
aquifers | RESOURCE
arable and built - up land | QUALITY
arable | QUALITY
arable | RESOURCE
arag | QUALITY
aragonite saturation state index ( arag ) | QUALITY
aragonite | RESOURCE
archaeological sites | RESOURCE
archipelago | LOCATION
areas of coastal change | RESOURCE
armouring | PROCESS
arsenic ( As ) | RESOURCE
artefacts | RESOURCE
arthropods | RESOURCE
artificial reefs ( ARs ) | RESOURCE
ascorbic acid | RESOURCE
assemblage composition | QUALITY
assemblage | RESOURCE
assemblages | RESOURCE
assessment | PROCESS
assessments | PROCESS
assets | RESOURCE
assimilation | PROCESS
asthenospheric mantle | RESOURCE
astronomical tide | PROCESS
astronomical tides | PROCESS
atmosphere - exposed rocks | RESOURCE
atmospheric CO2 | RESOURCE
atmospheric anomalies | PROCESS
atmospheric environment | RESOURCE
atmospheric exposure | PROCESS
atmospheric exposures | PROCESS
atmospheric pCO2 | QUALITY
attacks | PROCESS
attenuation | PROCESS
attitudes | QUALITY
attractiveness | QUALITY
attribution | QUALITY
autochthonous | QUALITY
autotrophs | ACTOR
auxin | RESOURCE
availability | QUALITY
average pH | QUALITY
avian species | ACTOR
awareness | QUALITY
backwater | RESOURCE
bacterial community | ACTOR
bacterial community | RESOURCE
bacterial groups | ACTOR
bacterial phylogenetic groups | ACTOR
bacterial pollution | PROCESS
bacterial production | PROCESS
bacterial species | ACTOR
bacterioplankton | ACTOR
bacterioplankton | RESOURCE
banks | RESOURCE
bar systems | RESOURCE
barges | RESOURCE
barrier bars | LOCATION
barrier | RESOURCE
barriers | RESOURCE
bars | RESOURCE
basal unconformity surface | QUALITY
basalt | RESOURCE
basalts | RESOURCE
basin floor | RESOURCE
basin | LOCATION
basin | RESOURCE
basins | RESOURCE
bathymetric profiles | QUALITY
bathymetry | QUALITY
bay | LOCATION
bay | RESOURCE
bays | LOCATION
beach and sea tourism | PROCESS
beach habitat | RESOURCE
beach habitats | RESOURCE
beach nourishment | PROCESS
beach placer mining | PROCESS
beach prism | QUALITY
beach risk - management | PROCESS
beach users | ACTOR
beach | RESOURCE
beaches | LOCATION
beaches | RESOURCE
bearded seals | ACTOR
bed boundary layer | RESOURCE
bed friction | PROCESS
bedrock | RESOURCE
behavior | QUALITY
behaviour - related problems | QUALITY
behavioural strategies | RESOURCE
belt | RESOURCE
beluga | ACTOR
benefits | RESOURCE
benign | QUALITY
benthic algae | RESOURCE
benthic algal biomass | QUALITY
benthic bacterial | RESOURCE
benthic biodiversity | RESOURCE
benthic coastal habitats | RESOURCE
benthic community | RESOURCE
benthic ecosystem | RESOURCE
benthic filamentous algae | RESOURCE
benthic genera | QUALITY
benthic invertebrates | ACTOR
benthic macroalgae | RESOURCE
benthic macroinvertebrate community structure | QUALITY
benthic pelagic coupling | PROCESS
benthic species | RESOURCE
benthic | QUALITY
benthonic foraminifera species | RESOURCE
benthonic foraminifera | RESOURCE
benthonic foraminiferal | RESOURCE
benzo ( a ) pyrene ( BaP ) | RESOURCE
benzo | RESOURCE
berthing - priority - based incentive policy | RESOURCE
betacyanin | RESOURCE
bighead carp | ACTOR
bimodal distribution | QUALITY
bimodal magmatism | PROCESS
bio - optical indices | QUALITY
bioaccumulation levels | QUALITY
bioaccumulation mechanisms | QUALITY
bioaccumulation | PROCESS
bioactive compounds | RESOURCE
bioactive elements | RESOURCE
bioaugmentation | PROCESS
bioavailability | QUALITY
bioconcentration factors | QUALITY
bioconstruction | PROCESS
biodegration | PROCESS
biodiversity impacts | PROCESS
biodiversity loss | PROCESS
biodiversity | QUALITY
biodiversity | RESOURCE
biofilm productivity | QUALITY
biofilm | RESOURCE
biofilms | RESOURCE
biogeochemical processes | PROCESS
biogeographic barriers | PROCESS
biogeographic processes | PROCESS
biogeography | QUALITY
bioindicator | RESOURCE
bioindicators | RESOURCE
biological cycle | QUALITY
biological factors | QUALITY
biological fouling | PROCESS
biological function | QUALITY
biological invasions | PROCESS
biomanipulation | PROCESS
biomass fluctuations | QUALITY
biomass | QUALITY
biomass | RESOURCE
biomonitoring | PROCESS
bioproducts | RESOURCE
biorefinery applications | PROCESS
bioremediation | PROCESS
biostalactites | RESOURCE
biostimulant | RESOURCE
biota | ACTOR
biota | RESOURCE
biotic communities | RESOURCE
biotic province | RESOURCE
biotite | RESOURCE
biotope | RESOURCE
biotopes | RESOURCE
bioturbation | PROCESS
bird | ACTOR
birds | ACTOR
bivalent cations | RESOURCE
bivalve farming | PROCESS
bivalves | RESOURCE
black - tailed gull eggs | RESOURCE
black - tailed gulls | ACTOR
black carp | ACTOR
black | QUALITY
bleaching | PROCESS
block | RESOURCE
blood coagulation | PROCESS
bloom | PROCESS
blooms | PROCESS
blue - green algae | RESOURCE
blue | QUALITY
boat channels | RESOURCE
boats | RESOURCE
bodies | RESOURCE
body condition | QUALITY
body forces | PROCESS
border closures | PROCESS
borehole | RESOURCE
borrow | PROCESS
bottlenecks - sites | LOCATION
bottom sediments | RESOURCE
bottom topography | QUALITY
bottom trawlers | RESOURCE
bottom | LOCATION
boulders | RESOURCE
brachyuran symbionts | ACTOR
brackish - water ecosystem | RESOURCE
brackish environments | RESOURCE
brackish water reefs | RESOURCE
brackish waters | RESOURCE
branching corals | ACTOR
break - off | PROCESS
breakdown | PROCESS
breakwater | RESOURCE
breakwaters | RESOURCE
breed | PROCESS
breeding populations | ACTOR
breeding | PROCESS
broodstock | RESOURCE
brown alga | RESOURCE
brown algae | RESOURCE
bryozoan patches | RESOURCE
buds | RESOURCE
building | PROCESS
building | RESOURCE
buildings | RESOURCE
bulk bacterial production | PROCESS
bulk density | QUALITY
bulldozers | RESOURCE
butyltins ( BT ) contamination | PROCESS
bycatch | PROCESS
caddisflies | ACTOR
cadmium | RESOURCE
cage culture | PROCESS
cage farming | PROCESS
calcareous habitation tube | QUALITY
calcareous masses | RESOURCE
calcite | RESOURCE
calcium and magnesium content | QUALITY
calcium carbonate tube | RESOURCE
caldera | LOCATION
camarodonts | RESOURCE
canals | RESOURCE
canister | RESOURCE
canyon | RESOURCE
canyons | RESOURCE
capital city | LOCATION
carbamazepine | RESOURCE
carbon ( C ) | RESOURCE
carbon chain length | QUALITY
carbon cycling | PROCESS
carbon emission | PROCESS
carbon sequestration | PROCESS
carbon sink | RESOURCE
carbon source / sink status | QUALITY
carbon | RESOURCE
carbonate deposition and storage | PROCESS
carbonate dynamics | PROCESS
carbonate rocks | RESOURCE
carbonate system parameters | QUALITY
carbonated biogenic particles | RESOURCE
carbonation | PROCESS
carcinogenic | QUALITY
cargo | RESOURCE
carib pointed - venus | RESOURCE
carnivorous species | RESOURCE
carrageenan | RESOURCE
carrion - feeding | PROCESS
cars | RESOURCE
cascading impacts | PROCESS
catastrophic events | PROCESS
catastrophic | QUALITY
catch compositions | QUALITY
catchment loads | PROCESS
catchment rain | PROCESS
catchment rainfall | PROCESS
catfish | ACTOR
caves | RESOURCE
cell circulation | PROCESS
cell walls | RESOURCE
cells | RESOURCE
central areas | LOCATION
central parts | LOCATION
cephalic setae | RESOURCE
cetaceans | RESOURCE
chalk cliffs | RESOURCE
change rate | QUALITY
change | PROCESS
changing climate | PROCESS
changing coast | QUALITY
changing ecosystems | RESOURCE
changing environments | QUALITY
channel catfish | ACTOR
channel width convergence | PROCESS
characteristics | QUALITY
characterization | PROCESS
charnockite | RESOURCE
chemical elements | RESOURCE
chemical tracer | RESOURCE
chironomid larvae | ACTOR
chironomid midge | ACTOR
chironomids | RESOURCE
chloramphenicol | RESOURCE
chloride ion attacks | PROCESS
chloride | RESOURCE
chlorophyll - a | RESOURCE
chlorophyll a content | QUALITY
chlorophyll a | RESOURCE
chlorophyll content | QUALITY
chlorophyll | RESOURCE
chlorpyrifos - methyl | RESOURCE
chlorpyrifos | RESOURCE
choanosome | RESOURCE
chromium ( Cr ) | RESOURCE
chromium | RESOURCE
chronic hydrocarbon pollution | PROCESS
chronic photoinhibition | PROCESS
chronic pollution | PROCESS
cidaroid | RESOURCE
cidaroids | RESOURCE
cigarette butts | RESOURCE
ciliates | ACTOR
circum - Mediterranean area | LOCATION
circumpolar distribution | QUALITY
cities | LOCATION
citizens | ACTOR
city center | LOCATION
city | LOCATION
city | RESOURCE
civil engineering | PROCESS
clam | RESOURCE
class | QUALITY
classes | QUALITY
classification | QUALITY
clay | RESOURCE
cleaning | PROCESS
cliff | RESOURCE
cliffs | RESOURCE
climate adaption measures | RESOURCE
climate change policy | RESOURCE
climate change risks | QUALITY
climate change scenarios | RESOURCE
climate change study | RESOURCE
climate change | PROCESS
climate regulation | PROCESS
climate teleconnections | PROCESS
climate variability | QUALITY
climate warming | PROCESS
climate | QUALITY
climates | QUALITY
climatic scenario | QUALITY
climatic suitability | QUALITY
climatic | PROCESS
closure | PROCESS
clypeasteroids | RESOURCE
coal - bearing strata | RESOURCE
coarse sediments | RESOURCE
coarse | QUALITY
coast - line | LOCATION
coast | LOCATION
coast | RESOURCE
coastal and deep - water ecosystems | RESOURCE
