15N | RESOURCE
biological characteristics | QUALITY
biological effects | PROCESS
biological factors | QUALITY
biological fouling | PROCESS
biological function | QUALITY
biological productivity | QUALITY
biological sensitivity | QUALITY
biological value | QUALITY
biomass content | QUALITY
biomass ratios | QUALITY
biomass | QUALITY
biomass | RESOURCE
biomonitoring | PROCESS
bioproduction potential | QUALITY
biostalactites | RESOURCE
biota | RESOURCE
biotope | RESOURCE
birds | ACTOR
birth weight | QUALITY
bivalent cations | RESOURCE
black tiger shrimp | RESOURCE
bleaching | PROCESS
block | RESOURCE
blood coagulation | PROCESS
blooms | PROCESS
blue - green algae | RESOURCE
blue crab | RESOURCE
boats | RESOURCE
body carbon | RESOURCE
body size scaling | QUALITY
body size | QUALITY
body weights | QUALITY
boreholes | RESOURCE
both dreissenids | ACTOR
bottlenecks - sites | LOCATION
bottom friction | PROCESS
botulism | PROCESS
boulders | RESOURCE
boundary layer | LOCATION
boundary layer | RESOURCE
brachyuran symbionts | ACTOR
brackish coastal water | RESOURCE
brackish water reefs | RESOURCE
branching corals | ACTOR
breeding places | RESOURCE
bridges | RESOURCE
brown alga | RESOURCE
buds | RESOURCE
building | PROCESS
buildings | RESOURCE
bulk density | QUALITY
buoys | RESOURCE
burrowing | PROCESS
butyltins ( BT ) contamination | PROCESS
cable / pipeline tracker | RESOURCE
calcareous habitation tube | QUALITY
calcareous masses | RESOURCE
calcite | RESOURCE
calcium and magnesium content | QUALITY
calcium carbonate tube | RESOURCE
calcium carbonate | RESOURCE
calcium | RESOURCE
calves | ACTOR
carbon chain length | QUALITY
carbon sink | RESOURCE
carbon source / sink status | QUALITY
carbon | RESOURCE
carbonate content | QUALITY
carbonate deposition and storage | PROCESS
carbonate rocks | RESOURCE
carbonate system parameters | QUALITY
carbonated biogenic particles | RESOURCE
carrying capacity | QUALITY
cases of malnutrition | PROCESS
cases of malnutrition | QUALITY
cavities | RESOURCE
cell walls | RESOURCE
cells | RESOURCE
cement | RESOURCE
central - southern parts | LOCATION
central areas | LOCATION
central parts | LOCATION
changing climate | PROCESS
changing coast | QUALITY
char | ACTOR
characteristics | QUALITY
chemical composition | QUALITY
chemical elements | RESOURCE
chemical hazards | PROCESS
chemical oxygen demand | QUALITY
chemical pollutants | RESOURCE
chemical tracer | RESOURCE
children under five | ACTOR
children | ACTOR
chironomid midge | ACTOR
chitin | RESOURCE
chitosan - and graphene oxide - based PNMs | RESOURCE
chlorine | RESOURCE
chlorite | RESOURCE
chlorophyll - a concentrations | QUALITY
chlorophyll a content | QUALITY
chlorophyll content | QUALITY
choanosome | RESOURCE
chronic problems | PROCESS
chronology | QUALITY
cities | LOCATION
city | LOCATION
city | RESOURCE
clay | RESOURCE
clear water state | QUALITY
cliff | RESOURCE
cliffed rocky coast | RESOURCE
cliffs | RESOURCE
climate adaption measures | RESOURCE
climate change ( CC ) | PROCESS
climate change study | RESOURCE
climate change | PROCESS
climate regulation | PROCESS
climate teleconnections | PROCESS
climate | QUALITY
climates | QUALITY
climatic and physiographic features | QUALITY
climatic factors | QUALITY
climatic suitability | QUALITY
clinopyroxene | RESOURCE
closure | PROCESS
clouds | RESOURCE
coal - bearing strata | RESOURCE
coast - line | LOCATION
coast | LOCATION
coast | RESOURCE
coastal Adriatic | LOCATION
coastal Sasak | LOCATION
coastal and deep - water ecosystems | RESOURCE
coastal and deep - water systems | RESOURCE
coastal and island - based municipalities | LOCATION
coastal and marine - related issues | QUALITY
coastal and open areas | LOCATION
coastal aquifer systems | RESOURCE
coastal aquifers | LOCATION
coastal aquifers | RESOURCE
coastal area sensitivity | QUALITY
coastal area | LOCATION
coastal area | RESOURCE
coastal areas | LOCATION
coastal areas | RESOURCE
coastal atmospheric I2 | RESOURCE
coastal benthos | ACTOR
coastal bioengineering | PROCESS
coastal biological sedimentological system | RESOURCE
coastal biosphere reserve | RESOURCE
coastal change adaptation policies | RESOURCE
coastal change areas | LOCATION
coastal change areas | RESOURCE
coastal change | QUALITY
coastal cities | RESOURCE
coastal clean index ( CCI ) | QUALITY
coastal cliffs | RESOURCE
coastal communities | ACTOR
coastal convergence | PROCESS
coastal cyclonic eddy | PROCESS
coastal defense | PROCESS
coastal distance | QUALITY
coastal distribution | QUALITY
coastal dynamics | PROCESS
coastal ecosystems | RESOURCE
coastal effects | PROCESS
coastal effects | QUALITY
coastal engineering design | RESOURCE
coastal environments | RESOURCE
coastal equipment | RESOURCE
coastal erosion | PROCESS
coastal eutrophication | PROCESS
coastal facility | RESOURCE
coastal flooding | PROCESS
coastal foraging area | LOCATION
coastal geomorphology | QUALITY
coastal governance regimes | ACTOR
coastal hazards policy | RESOURCE
coastal health and wellness tourism | PROCESS
coastal hydrodynarnic | PROCESS
coastal inhabitants | ACTOR
coastal iodine fluxes | PROCESS
coastal iodine | RESOURCE
coastal lakes | LOCATION
coastal land | RESOURCE
coastal linear infrastructure | RESOURCE
coastal litter | RESOURCE
coastal macroarea | LOCATION
coastal management strategies | RESOURCE
coastal managers | ACTOR
coastal marine areas | LOCATION
coastal marine ecosystems | RESOURCE
coastal marine environment | RESOURCE
coastal natural hazard mitigation policies | RESOURCE
coastal natural hazard | PROCESS
coastal plain - coastal slope system | RESOURCE
coastal plain mires | LOCATION
coastal plain setting | QUALITY
coastal plain | LOCATION
coastal plains | RESOURCE
coastal planning authorities | ACTOR
coastal planning | PROCESS
coastal plant species | RESOURCE
coastal population growth | PROCESS
coastal populations | ACTOR
coastal protection engineering | PROCESS
coastal protection | PROCESS
coastal rainfall | PROCESS
coastal regions | LOCATION
coastal response | PROCESS
coastal retreat | PROCESS
coastal risk management | PROCESS
coastal risk | QUALITY
coastal risks | QUALITY
coastal salt marshes | RESOURCE
coastal sandy soils | RESOURCE
coastal sediment subsidence | PROCESS
coastal sediment | RESOURCE
coastal sediments | RESOURCE
coastal settlements | RESOURCE
coastal sites | LOCATION
coastal species | ACTOR
coastal storm surge flooding | PROCESS
coastal structures | RESOURCE
coastal system | RESOURCE
coastal systems | RESOURCE
coastal urbanized areas | LOCATION
coastal waters | LOCATION
coastal waters | RESOURCE
coastal wetland loss | QUALITY
coastal wetlands | RESOURCE
coastal zone | LOCATION
coastal zones | LOCATION
coastline resources | RESOURCE
coastline | LOCATION
coastline | RESOURCE
coastlines | LOCATION
coasts | RESOURCE
cohesion | QUALITY
cohesive sediment | RESOURCE
coho and chinook salmon | RESOURCE
cold spots | LOCATION
collapse | PROCESS
collection | PROCESS
collisions | PROCESS
commercial and economic fortunes | RESOURCE
commercial by - catch | PROCESS
commercial fishers | ACTOR
commercial vessel traffic | PROCESS
commercial | ACTOR
commercially harvested | PROCESS
communities | ACTOR
communities | RESOURCE
community - based information systems | RESOURCE
community composition | QUALITY
community preparedness | QUALITY
community | RESOURCE
companies | ACTOR
compartmentalization | PROCESS
competition | PROCESS
competitive advantages | RESOURCE
composition | QUALITY
compositions | QUALITY
compound flood | PROCESS
compounds | RESOURCE
concentration levels | QUALITY
concentration of total PAHs | QUALITY
concentration | QUALITY
concentrations | QUALITY
confined coastal areas | LOCATION
confining pressure | QUALITY
confining pressures | QUALITY
conflict | PROCESS
conflicts | PROCESS
congenital and immunological associations | PROCESS
conglomerates | RESOURCE
connectivity | QUALITY
conservation | PROCESS
consolidation | PROCESS
consortium | RESOURCE
construction land | RESOURCE
construction | PROCESS
constructions | RESOURCE
consumer biomass | QUALITY
consumer nutrient recycling ( CNR ) | PROCESS
consumer species | ACTOR
consumers | ACTOR
consumption of fossil fuels | PROCESS
consumption of seafood | PROCESS
consumption rates | QUALITY
consumption | PROCESS
contaminants | RESOURCE
contaminate | PROCESS
contaminated coastal area | QUALITY
contaminated soils | QUALITY
contaminated | QUALITY
contamination level | QUALITY
contamination | PROCESS
continental shelf | LOCATION
continental slopes | LOCATION
control | PROCESS
control | RESOURCE
convective heavy precipitation | PROCESS
convective rain | PROCESS
conversion of hot metal into steel | PROCESS
cooling | PROCESS
coral reef ecosystem | RESOURCE
corrosion resistance | QUALITY
corrosion | PROCESS
cortex | RESOURCE
cost effective | QUALITY
cost lessening | PROCESS
cost | QUALITY
counter - measures | RESOURCE
countermeasure | PROCESS
countries | ACTOR
countries | LOCATION
cover soil | RESOURCE
cover | RESOURCE
cow and frilled sharks | ACTOR
crabs | ACTOR
crinoids | RESOURCE
crop production | PROCESS
cryptogam - dominated zonation patterns | QUALITY
cultural benefits | RESOURCE
cultural value orientation | QUALITY
culture conditions | QUALITY
current climate | QUALITY
current regime | QUALITY
current | PROCESS
currents | PROCESS
cyanobacterial dominance | QUALITY
cyclone - spawned tornadoes | PROCESS
cyclone warning system | RESOURCE
cyclone | PROCESS
cytolysis | PROCESS
damage evaluation | PROCESS
damage | PROCESS
damaging agents | ACTOR
dams | RESOURCE
daphniids | RESOURCE
data | RESOURCE
database | RESOURCE
dataset | RESOURCE
datasets | RESOURCE
death | PROCESS
debt , manipulative , and vertical cooperation strategies | RESOURCE
decision - makers | ACTOR
decision makers | ACTOR
decision making | PROCESS
decision management system | RESOURCE
decision support system ( DSS ) | RESOURCE
decision support tool | RESOURCE
declining groundwater levels | QUALITY
decomposition | PROCESS
decreasing seaward | PROCESS
deep - water | LOCATION
deep - water | RESOURCE
deep convection | PROCESS
deep lakes | RESOURCE
deep ocean | LOCATION
deep sea of China | LOCATION
deep sea | LOCATION
deepwater environments | RESOURCE
deformities | QUALITY
degradation | PROCESS
degrading kelp | QUALITY
delineation of erosion extents | PROCESS
deltaic landscape | RESOURCE
deltaic plain land | RESOURCE
demands | PROCESS
dense granules | QUALITY
dense populations | QUALITY
densely populated | QUALITY
densely settling | QUALITY
density currents | PROCESS
density | QUALITY
denudation | PROCESS
deployment | PROCESS
deposit | RESOURCE
deposition - dominated downstream areas | LOCATION
deposition | PROCESS
deposits | RESOURCE
depth - related factors | QUALITY
depth | QUALITY
depths | QUALITY
desalination plant | RESOURCE
desiccation | PROCESS
design documentation | RESOURCE
design | PROCESS
design | QUALITY
destruction | PROCESS
detach | PROCESS
detection distance | QUALITY
detection limit | QUALITY
detoxification | PROCESS
detrimental effects | PROCESS
development banks | ACTOR
development planning and control | PROCESS
development planning policies | RESOURCE
development planning | PROCESS
development pressure | PROCESS
development projects | RESOURCE
development strategy | RESOURCE
development | PROCESS
developments | PROCESS
dewatering | PROCESS
diabatic heating and drying | PROCESS
diachronous unit | QUALITY
diagenetic transformations | PROCESS
diarrheal diseases | PROCESS
diatoms | RESOURCE
dibenzo | RESOURCE
dibutylin ( DBT ) | RESOURCE
diet breadth | PROCESS
diet | QUALITY
dikes | RESOURCE
diminishing | PROCESS
dimorphic species | ACTOR
dinoflagellates | RESOURCE
direct conservation | PROCESS
direct effects | PROCESS
direct surface runoff | PROCESS
disaster - resilient village | LOCATION
disaster management | PROCESS
disaster resilience | PROCESS
disaster risk reduction | PROCESS
disaster risks | QUALITY
disaster | PROCESS
disasters | PROCESS
discharge pipelines | RESOURCE
discharge point | LOCATION
discharges | PROCESS
disintegrin | RESOURCE
dispersion | PROCESS
disposal | PROCESS
disposal | QUALITY
dissolution | PROCESS
dissolved Mn | QUALITY
dissolved nitrogen | RESOURCE
dissolved organic carbon | RESOURCE
dissolved oxygen | RESOURCE
dissolved silicon content | QUALITY
distal part | RESOURCE
distinct clades | QUALITY
distribution pattern | QUALITY
distribution ranges | QUALITY
distribution | QUALITY
distributions | QUALITY
disturbance regime | QUALITY
disturbed area | LOCATION
diurnal precipitation system | PROCESS
diurnal precipitation | PROCESS
diversity | QUALITY
divorce | PROCESS
dominant land use types | QUALITY
downstream areas | LOCATION
downstream | LOCATION
drainage basins | RESOURCE
drainage layer | RESOURCE
drainage systems | RESOURCE
drawdown | PROCESS
drawdowns | PROCESS
dreissenids | ACTOR
drilling | PROCESS
drinking water | RESOURCE
dropping water table | PROCESS
dry sand surface | RESOURCE
duct | PROCESS
dumping | PROCESS
durability | QUALITY
dynamic | QUALITY
early warning system | RESOURCE
early warning | PROCESS
earlyinstar larvae | ACTOR
earthquake | PROCESS
east | LOCATION
eco - friendliness | QUALITY
ecological adaptation | PROCESS
ecological and economic impacts | QUALITY
ecological and environmental characteristics | QUALITY
ecological cities | RESOURCE
ecological communities | RESOURCE
ecological conditions | QUALITY
ecological connectivity | QUALITY
ecological degradation | PROCESS
ecological environment | RESOURCE
ecological integrity | QUALITY
ecological repercussions | PROCESS
ecological restoration | PROCESS
ecological risk assessment | PROCESS
economic activities | PROCESS
economic and social development | PROCESS
economic costs | QUALITY
economic development zone | LOCATION
economic implications | QUALITY
economic solution | QUALITY
economic zone | LOCATION
economy | QUALITY
ecosystem consequences | PROCESS
ecosystem functions | QUALITY
ecosystem scale | QUALITY
ecosystem services | RESOURCE
ecosystem | RESOURCE
ecosystems | RESOURCE
ecotoxic response | PROCESS
ecotypes | ACTOR
edge habitat | RESOURCE
education | PROCESS
effectiveness | QUALITY
effluent | RESOURCE
electrical conductivity | QUALITY
electricity generation | PROCESS
electronic equipment | RESOURCE
elevation | QUALITY
embayments | LOCATION
emergencies | PROCESS
emergency response decisions | PROCESS
emergent vegetation | QUALITY
emerging structural pollutant | QUALITY
emigration | PROCESS
emission of CO2 | PROCESS
emissions | PROCESS
end users | ACTOR
endangered areas | LOCATION
endemic fish species | QUALITY
endorheic | QUALITY
energetic benefit | QUALITY
energetic production | PROCESS
energetic quality | QUALITY
energy crisis | PROCESS
energy flows | PROCESS
energy mobilization | PROCESS
energy | QUALITY
energy | RESOURCE
engineering methods | RESOURCE
enhanced capabilities | QUALITY
enteric bacteria | ACTOR
enterobacteria | ACTOR
envenomation | PROCESS
environment problems | PROCESS
environment | RESOURCE
environmental challenges | QUALITY
environmental changes | QUALITY
environmental coastal management | PROCESS
environmental conditions | QUALITY
environmental disturbance | PROCESS
environmental fluctuations | QUALITY
environmental hazards | PROCESS
environmental parameters | QUALITY
environmental pollution | PROCESS
environmental pollutions | PROCESS
environmental pressures | PROCESS
environmental problems | PROCESS
environmental quality | QUALITY
environmental requirements | QUALITY
environmental risk | QUALITY
environmental stress | QUALITY
environmental stressors | QUALITY
environments | RESOURCE
eolian and littoral transport | PROCESS
ephippia | RESOURCE
epidemiological implications | QUALITY
epidote | RESOURCE
epilithic biotope | RESOURCE
epiphytic algal cells | RESOURCE
epiphytic cover | RESOURCE
equilibrium profile | QUALITY
eroded sediments | RESOURCE
erosion - accretion | PROCESS
erosion - prone upstream source areas | LOCATION
erosion extent | PROCESS
erosion | PROCESS
erosive processes | PROCESS
estuaries | LOCATION
estuaries | RESOURCE
estuarine | RESOURCE
estuary typologies | QUALITY
estuary | LOCATION
estuary | RESOURCE
ethylbenzene | RESOURCE
euphotic conditions | QUALITY
eustatic fluctuations | PROCESS
eustatic sea - level curve | QUALITY
eustatic sea - level falls | PROCESS
eustatic sea - level fluctuations | PROCESS
eustatic | QUALITY
eutrophic | QUALITY
eutrophication degree | QUALITY
eutrophication | PROCESS
evacuation procedures | RESOURCE
evacuation | PROCESS
evolution | PROCESS
excess sodium | QUALITY
exchanges | PROCESS
exoreic | QUALITY
expansion | PROCESS
expensive | QUALITY
exploration potential | QUALITY
extends landward | PROCESS
extension | PROCESS
extent | PROCESS
external environmental impact | PROCESS
external erosive forces | PROCESS
extracellular polymeric substances ( EPS ) | RESOURCE
extreme climate conditions | QUALITY
extreme events | PROCESS
extreme weather events | PROCESS
extrusive and non - marine rocks | RESOURCE
failure | PROCESS
fall army worm ( FAW ) | ACTOR
fallen leaves | QUALITY
families | ACTOR
families | QUALITY
family residences | RESOURCE
family richness | QUALITY
farm | RESOURCE
farmland | RESOURCE
farmlands | RESOURCE
faulting activity | PROCESS
fauna | ACTOR
fecal contamination | PROCESS
feeding areas | RESOURCE
feeding ground | RESOURCE
feeding grounds | RESOURCE
feeding | PROCESS
fertilizers | RESOURCE
filamentous algal blooms | QUALITY
filamentous species | QUALITY
fin whale feeding | PROCESS
fin whales | ACTOR
financially unviable | QUALITY
fine gravels | RESOURCE
fine sediment | QUALITY
fine sediment | RESOURCE
finest sediments | QUALITY
finfish | RESOURCE
fish distributions | QUALITY
fish gathering | PROCESS
fish habitat | RESOURCE
fish population | RESOURCE
fish predation | PROCESS
fish production | PROCESS
fish recruitment | PROCESS
fish stock | RESOURCE
fish | ACTOR
fisheries management | PROCESS
fishery resources | RESOURCE
fishery | RESOURCE
fishing pressure | PROCESS
fjords | RESOURCE
flash floods | PROCESS
flashflood | PROCESS
flashfloods | PROCESS
flat lowlands | LOCATION
flexural subsidence | PROCESS
flood control | PROCESS
flood prediction | PROCESS
flood | PROCESS
flooding | PROCESS
flourene | RESOURCE
flow of energy | PROCESS
flow | PROCESS
fluctuations | PROCESS
fluctuations | QUALITY
fluoranthene | RESOURCE
fluvial dynamics | PROCESS
fluvial estuaries | RESOURCE
fluvial processes | PROCESS
fluvial sedimentation processes | PROCESS
flux | PROCESS
fluxes | PROCESS
food of inferior quality | QUALITY
food quality | QUALITY
food resources | RESOURCE
food source | RESOURCE
food web structure | QUALITY
food web | QUALITY
food webs | QUALITY
food | RESOURCE
footprint | QUALITY
foraminiferal assemblages | RESOURCE
forecast accuracy | QUALITY
forecasting information | RESOURCE
forecasting | PROCESS
forest land | RESOURCE
forestland area | LOCATION
forestland | RESOURCE
formation | PROCESS
fossil anomopod cladocerans | RESOURCE
fossil fuels | RESOURCE
fossil record | RESOURCE
fossils | RESOURCE
foundation species | ACTOR
freezing | PROCESS
frequency harmonics | QUALITY
fresh groundwater aquifers | RESOURCE
fresh water influx | PROCESS
fresh water | RESOURCE
freshwater bodies | RESOURCE
freshwater caves | LOCATION
freshwater ecosystems | RESOURCE
freshwater mites | ACTOR
freshwater | RESOURCE
fumes | PROCESS
functioning of ecosystems | PROCESS
funding | RESOURCE
garnet | RESOURCE
gas field | RESOURCE
gas generation | PROCESS
gastropods | ACTOR
gene flow | PROCESS
genera | QUALITY
general pattern | PROCESS
genetic diversity | QUALITY
genus Vibrio | ACTOR
genus | QUALITY
geographic distance | QUALITY
geographical locations | QUALITY
geographical vulnerability | QUALITY
geometric properties | QUALITY
geomorphic connectivity | QUALITY
geomorphic processes | PROCESS
geomorphological evolution | PROCESS
geomorphological processes | PROCESS
geospatial distribution | QUALITY
gestation | PROCESS
glacial landforms | RESOURCE
global climate change | PROCESS
global crisis | PROCESS
global distribution | QUALITY
global economic and social developments | PROCESS
global environmental change | PROCESS
government - subsidy - based incentive policy | RESOURCE
government directive | RESOURCE
government funding | PROCESS
government subsidy rate | QUALITY
governmental risk assessments | PROCESS
gradually divided | QUALITY
grain size ( clay ) sorting | PROCESS
grain size | QUALITY
granite | RESOURCE
grassland | RESOURCE
gravel | RESOURCE
grazing intensity | QUALITY
great rivers ' floods | PROCESS
green algae | RESOURCE
green algal genera | QUALITY
green building | PROCESS
green buildings | RESOURCE
green method | QUALITY
greenhouse gas production | PROCESS
greenhouse gases | RESOURCE
ground shaking | PROCESS
groundwater degradation | PROCESS
groundwater development | PROCESS
groundwater pollution | PROCESS
groundwater pumping | PROCESS
groundwater resources | RESOURCE
groundwater salinity variations | QUALITY
groundwater | RESOURCE
grow erectly | PROCESS
growing demand | PROCESS
growth rate | QUALITY
growth | PROCESS
habitat and site fidelity | QUALITY
habitat change and loss | PROCESS
habitat conditions | QUALITY
habitat cover | QUALITY
habitat loss | PROCESS
habitat lost | PROCESS
habitat parameters | QUALITY
habitat selection | PROCESS
habitat type | QUALITY
habitat | RESOURCE
habitats | RESOURCE
harbor | RESOURCE
harbors | RESOURCE
harbour contribution | RESOURCE
harbours | LOCATION
hard - soft hybrid adaptation measures | QUALITY
hard adaptation measures | QUALITY
hard engineering | PROCESS
hard substrate | RESOURCE
harp | ACTOR
hazard assessments | PROCESS
hazard indices | QUALITY
hazard | PROCESS
hazardous environmental , cultural and socioeconomic impacts | QUALITY
hazards | PROCESS
health and wellness tourism industry | ACTOR
health and wellness tourism | PROCESS
health impact study | RESOURCE
health impacts | QUALITY
health of marine species | QUALITY
health of people | QUALITY
health risks | QUALITY
health sector | ACTOR
health tourism industry | ACTOR
health | QUALITY
heavy metal concentrations | QUALITY
heavy metals | RESOURCE
heavy rain | PROCESS
heavy rainfall | PROCESS
heavy rains | PROCESS
heavy unusual rain | QUALITY
helicopters | RESOURCE
hemolysin | RESOURCE
hemolysis | PROCESS
hemorrhagic activity | PROCESS
heterotrophic bacteria | ACTOR
hexanchiform species | RESOURCE
hierarchal governance framework | RESOURCE
high - end consumers | ACTOR
high - frequency tide - surge interaction | QUALITY
high - risk disaster - prone area | QUALITY
high - speed ships | QUALITY
high ductility dualphase steel ( B500c ) | QUALITY
high seas | LOCATION
high tide mark | LOCATION
high trophic level | QUALITY
high value area | QUALITY
home range fidelity | QUALITY
horizontal inhomogeneous evaporation duct | QUALITY
hornblende | RESOURCE
hornblendes | RESOURCE
host densities | QUALITY
host species | RESOURCE
hosts | RESOURCE
hot spots | LOCATION
hot vents | RESOURCE
households | ACTOR
human activities | PROCESS
human being | ACTOR
human health | QUALITY
human life | PROCESS
human lives | ACTOR
human pressure | PROCESS
human | ACTOR
humans | ACTOR
hydraulic conductivity | QUALITY
hydrocarbon - rich kitchens | RESOURCE
hydrocarbon accumulation dynamics | QUALITY
hydrocarbon accumulation zones | LOCATION
hydrocarbon generation and expulsion | PROCESS
hydrocarbon generation intensity | QUALITY
hydrocarbon generation potential | QUALITY
hydrocarbon generation volume | QUALITY
hydrocarbons | RESOURCE
hydrochemical and microbiological characteristics | QUALITY
hydrodynamic and biogeochemical processes | PROCESS
hydrodynamic force | PROCESS
hydrodynamic forcing | PROCESS
hydrodynamics | PROCESS
hydrogeological nature | QUALITY
hydrographic settings | QUALITY
hydrologic alteration | PROCESS
hydrologic regimes | QUALITY
hydrological stations | RESOURCE
hydrology regulation | PROCESS
hydrology | QUALITY
hydrometeor | RESOURCE
hydrophobic | QUALITY
hydropower | RESOURCE
hypersaline conditions | QUALITY
hypersthene | RESOURCE
hypertrophic | QUALITY
hypo - or hypersalinity conditions | QUALITY
hyposaline conditions | QUALITY
hypotonic environment | QUALITY
ice - cover | QUALITY
ice protecting cover | RESOURCE
ice retreat | PROCESS
ice shrinkage | PROCESS
identified toxins | QUALITY
impact assessments | PROCESS
impacts | QUALITY
impassable conditions | QUALITY
implementation | PROCESS
imposex incidence | QUALITY
imposex levels | QUALITY
improvement | PROCESS
inadequate and ambiguous guidance | QUALITY
inadequate disposal | QUALITY
incidental | QUALITY
incision | RESOURCE
incorporation | PROCESS
increment | PROCESS
indeno | RESOURCE
indi - viduals | ACTOR
indicators and opportunistic pathogenic microorganisms | ACTOR
indicators | RESOURCE
indirect effects | PROCESS
individual parasequences | QUALITY
individual tubes | RESOURCE
individuals | ACTOR
indoor environmental protection | PROCESS
industrial activities | PROCESS
industrial areas | LOCATION
industrial chain | RESOURCE
industrial effluents | RESOURCE
industrial solutions | RESOURCE
industrial structure | RESOURCE
industrial | PROCESS
industrialization | PROCESS
industry | ACTOR
inedible algae | QUALITY
infected | QUALITY
infection | PROCESS
infectious stage | PROCESS
infestation rate | QUALITY
inflammation | PROCESS
inflow of nutrients | PROCESS
inflow | PROCESS
information | RESOURCE
infraorders | QUALITY
infrastructure damage | PROCESS
infrastructure | RESOURCE
infrastructures | RESOURCE
injuries | PROCESS
inland | LOCATION
inorganic nitrogen | RESOURCE
inputs of dissolved Mn | RESOURCE
inputs | RESOURCE
insect species | ACTOR
insects | ACTOR
inshore | LOCATION
institutional structures | RESOURCE
intense rainfall | PROCESS
intensity | QUALITY
inter - annual variation | QUALITY
interacting waves | PROCESS
interactions between ecosystems | PROCESS
intermontane basins | RESOURCE
international restrictions | RESOURCE
international route | RESOURCE
international standard | QUALITY
intertidal habitat area | RESOURCE
intertidal organisms | ACTOR
intertidal pools | RESOURCE
intertidal populations | ACTOR
interventions | PROCESS
intraspecific density dependence | PROCESS
intraspecific variability | QUALITY
introduction | PROCESS
intrusion of Kuroshio Water | PROCESS
intrusion | PROCESS
intrusive granitic complexes | PROCESS
intrusive rocks | RESOURCE
invaders | ACTOR
invading seawater | PROCESS
invasion | PROCESS
invasive rust fungus | QUALITY
invasive | QUALITY
invertebrate fauna | ACTOR
invertebrate fauna | RESOURCE
invertebrate | ACTOR
invertebrates | ACTOR
investment cost | QUALITY
iodide , I | RESOURCE
iodine - retention capacity | QUALITY
iodine recycling | PROCESS
iodine | RESOURCE
ion exchange | PROCESS
iron oxide | RESOURCE
iron | RESOURCE
irrigated land expansion | PROCESS
irrigation plan | RESOURCE
island states | LOCATION
islands | LOCATION
isostatic land uplift | PROCESS
isotope ratios | QUALITY
its | ACTOR
jellyfish | ACTOR
jets | RESOURCE
juvenile Pacific salmon | ACTOR
juvenile Pacific salmon | RESOURCE
juvenile | QUALITY
juveniles | ACTOR
juveniles | QUALITY
karstic aquifers | RESOURCE
kelp beds | RESOURCE
kinetic energy | RESOURCE
lacustrine deposition | PROCESS
lacustrine mudstone | RESOURCE
lagoon environment | RESOURCE
lagoon | RESOURCE
lagoons | LOCATION
lake ecosystems | RESOURCE
lake littoral | LOCATION
lake morphology | QUALITY
lake size | QUALITY
lake water | RESOURCE
lake | LOCATION
lake | RESOURCE
lakebeds | LOCATION
lakes | LOCATION
lakes | RESOURCE
land - based activities | PROCESS
land - ocean interaction | PROCESS
land subsidence | PROCESS
land use practices | PROCESS
land | RESOURCE
landfill sites | RESOURCE
landform development | PROCESS
landform | RESOURCE
landscape evolution | PROCESS
landscape shaping | PROCESS
landscape | LOCATION
landscapes | RESOURCE
landslides | PROCESS
large Daphnia | RESOURCE
leaf | RESOURCE
leaves | RESOURCE
leisure tourism | PROCESS
lepidopteran pests ( LP ) | ACTOR
lesion | PROCESS
leukotoxin | RESOURCE
life history and catch | QUALITY
lifespan | QUALITY
limestone | RESOURCE
limnetic ecotypes | ACTOR
limnetic pumpkinseeds | ACTOR
limnetic sites | LOCATION
limnetic | LOCATION
limnic state | QUALITY
liquefaction | PROCESS
lithologies | QUALITY
litter sizes | QUALITY
littoral - neritic facies | QUALITY
littoral belts | RESOURCE
littoral biota | ACTOR
littoral cladoceran taxa | RESOURCE
littoral communities | RESOURCE
littoral drift | PROCESS
littoral ecosystems | RESOURCE
littoral energy sources | RESOURCE
littoral invertebrates | ACTOR
littoral microcrustacean taxa | ACTOR
littoral pumpkinseeds | ACTOR
littoral sediment budget | RESOURCE
littoral slope | QUALITY
littoral system | RESOURCE
littoral | LOCATION
littoral | QUALITY
littoral | RESOURCE
littorals | LOCATION
lives of the people | QUALITY
living individuals | RESOURCE
living marine resources | QUALITY
living organisms | RESOURCE
living space | RESOURCE
living standard | QUALITY
loads | RESOURCE
loans | RESOURCE
local climate | QUALITY
local communities | ACTOR
local government | ACTOR
local governments | ACTOR
local level | QUALITY
local perception | QUALITY
local planning authorities | ACTOR
local plans | QUALITY
local populations | ACTOR
local requirements | QUALITY
local spatial planning | PROCESS
local water chemistry | QUALITY
local wisdom | QUALITY
localities | LOCATION
locally isolated beneficial microorganisms ( LIBeM ) consortium | RESOURCE
long - distance migrant shorebirds | ACTOR
long - term changes | PROCESS
long - term habitat segregation | PROCESS
long - term integrators | QUALITY
loose , saturated soils | QUALITY
loss | QUALITY
losses | QUALITY
low - carbon cities | RESOURCE
low - carbon development model | RESOURCE
low - level jets ( LLJs ) | PROCESS
low molecular weight - PAHs | QUALITY
low value area | QUALITY
lower trophic level consumers | ACTOR
lower troposphere | RESOURCE
lowland | LOCATION
macro and meiofaunal species | ACTOR
macroalgae species | RESOURCE
macroalgal ecosystems | RESOURCE
macrofaunal chironomid populations | ACTOR
macroinvertebrate abundance | QUALITY
macroinvertebrate abundances | QUALITY
macroinvertebrate taxa | ACTOR
macroinvertebrates | ACTOR
macrophyte - dominated clear - water lakes | RESOURCE
macrophyte control | PROCESS
